obs,electric,fossil,hybrid
2020M01,4227,1867,3468
2020M02,5142,1917,3291
2020M03,6962,1917,3574
2020M04,3665,1467,2292
2020M05,3443,1556,3004
2020M06,5026,2400,4030
2020M07,4404,1966,3401
2020M08,5702,1976,3132
2020M09,9560,1393,4603
2020M10,7873,1149,3932
2020M11,7032,1064,4439
2020M12,13717,1192,5672
2021M01,5460,883,3961
2021M02,5074,1011,4604
2021M03,8623,977,5730
2021M04,7228,1049,4891
2021M05,8499,787,4787
2021M06,13182,1154,6060
2021M07,6724,643,3136
2021M08,11809,963,3657
2021M09,13949,615,3441
2021M10,8114,455,3012
2021M11,11273,551,3451
2021M12,13803,983,5779
2022M01,6659,271,1029
2022M02,6160,532,1458
2022M03,13979,536,1720
2022M04,7203,517,2002
2022M05,8446,548,2546
2022M06,11721,714,2467
2022M07,5123,454,1670
2022M08,9247,596,2520
2022M09,11377,577,2686
2022M10,9726,581,2251
2022M11,15915,510,3087
2022M12,32714,1219,5566
2023M01,1237,149,475
2023M02,6183,258,1000
2023M03,16812,431,2130
2023M04,7471,343,1163
2023M05,10772,367,2205
2023M06,12802,455,2312
2023M07,6148,256,1123
2023M08,9251,356,1478
2023M09,9000,216,1131
2023M10,7516,227,1186
2023M11,8442,218,1691
